date, Population, Annual Change
1950-12-31,476000,
1951-12-31,488000,2.52
1952-12-31,500000,2.46
1953-12-31,513000,2.6
1954-12-31,526000,2.53
1955-12-31,539000,2.47
1956-12-31,552000,2.41
1957-12-31,566000,2.54
1958-12-31,581000,2.65
1959-12-31,595000,2.41
1960-12-31,610000,2.52
1961-12-31,622000,1.97
1962-12-31,634000,1.93
1963-12-31,647000,2.05
1964-12-31,660000,2.01
1965-12-31,673000,1.97
1966-12-31,686000,1.93
1967-12-31,700000,2.04
1968-12-31,714000,2
1969-12-31,728000,1.96
1970-12-31,740000,1.65
1971-12-31,742000,0.27
1972-12-31,744000,0.27
1973-12-31,746000,0.27
1974-12-31,748000,0.27
1975-12-31,751000,0.4
1976-12-31,753000,0.27
1977-12-31,755000,0.27
1978-12-31,757000,0.26
1979-12-31,759000,0.26
1980-12-31,761000,0.26
1981-12-31,760000,-0.13
1982-12-31,760000,0
1983-12-31,759000,-0.13
1984-12-31,758000,-0.13
1985-12-31,758000,0
1986-12-31,757000,-0.13
1987-12-31,757000,0
1988-12-31,756000,-0.13
1989-12-31,755000,-0.13
1990-12-31,757000,0.26
1991-12-31,768000,1.45
1992-12-31,778000,1.3
1993-12-31,789000,1.41
1994-12-31,799000,1.27
1995-12-31,810000,1.38
1996-12-31,821000,1.36
1997-12-31,832000,1.34
1998-12-31,843000,1.32
1999-12-31,855000,1.42
2000-12-31,866000,1.29
2001-12-31,876000,1.15
2002-12-31,887000,1.26
2003-12-31,898000,1.24
2004-12-31,908000,1.11
2005-12-31,919000,1.21
2006-12-31,930000,1.2
2007-12-31,941000,1.18
2008-12-31,953000,1.28
2009-12-31,964000,1.15
2010-12-31,975000,1.14
2011-12-31,987000,1.23
2012-12-31,999000,1.22
2013-12-31,1011000,1.2
2014-12-31,1023000,1.19
2015-12-31,1035000,1.17
2016-12-31,1048000,1.26
2017-12-31,1060000,1.15
2018-12-31,1073000,1.23
2019-12-31,1081000,0.75
2020-12-31,1089000,0.74
2021-12-31,1098000,0.83
2022-12-31,1107000,0.82
2023-12-31,1116000,0.81
2024-12-31,1126000,0.9
2025-12-31,1136000,0.89
2026-12-31,1146000,0.88
2027-12-31,1157000,0.96
2028-12-31,1167000,0.86
2029-12-31,1178000,0.94
2030-12-31,1188000,0.85
2031-12-31,1199000,0.93
2032-12-31,1209000,0.83
2033-12-31,1220000,0.91
2034-12-31,1230000,0.82
2035-12-31,1240000,0.81
